Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=64, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 2/200] [Batch 34/91] [D loss: 0.244940] [G loss: 1.143982]
[Epoch 2/200] [Batch 35/91] [D loss: 0.325929] [G loss: 0.744653]
[Epoch 2/200] [Batch 36/91] [D loss: 0.256410] [G loss: 0.925669]
[Epoch 2/200] [Batch 37/91] [D loss: 0.267766] [G loss: 1.268304]
[Epoch 2/200] [Batch 38/91] [D loss: 0.358342] [G loss: 0.674098]
[Epoch 2/200] [Batch 39/91] [D loss: 0.325182] [G loss: 0.740838]
[Epoch 2/200] [Batch 40/91] [D loss: 0.233695] [G loss: 1.069762]
[Epoch 2/200] [Batch 41/91] [D loss: 0.397166] [G loss: 1.293380]
[Epoch 2/200] [Batch 42/91] [D loss: 0.653981] [G loss: 0.317700]
[Epoch 2/200] [Batch 43/91] [D loss: 0.682103] [G loss: 0.298192]
[Epoch 2/200] [Batch 44/91] [D loss: 0.506647] [G loss: 0.453909]
[Epoch 2/200] [Batch 45/91] [D loss: 0.356586] [G loss: 0.678379]
[Epoch 2/200] [Batch 46/91] [D loss: 0.281818] [G loss: 0.946792]
[Epoch 2/200] [Batch 47/91] [D loss: 0.269572] [G loss: 1.035850]
[Epoch 2/200] [Batch 48/91] [D loss: 0.264870] [G loss: 0.968465]
[Epoch 2/200] [Batch 49/91] [D loss: 0.261406] [G loss: 0.944186]
[Epoch 2/200] [Batch 50/91] [D loss: 0.254814] [G loss: 0.983949]
[Epoch 2/200] [Batch 51/91] [D loss: 0.250418] [G loss: 1.000221]
[Epoch 2/200] [Batch 52/91] [D loss: 0.275186] [G loss: 1.034920]
[Epoch 2/200] [Batch 53/91] [D loss: 0.297451] [G loss: 0.808176]
[Epoch 2/200] [Batch 54/91] [D loss: 0.274301] [G loss: 0.894478]
[Epoch 2/200] [Batch 55/91] [D loss: 0.268696] [G loss: 1.064592]
[Epoch 2/200] [Batch 56/91] [D loss: 0.256849] [G loss: 0.930669]
[Epoch 2/200] [Batch 57/91] [D loss: 0.272715] [G loss: 1.000869]
[Epoch 2/200] [Batch 58/91] [D loss: 0.304920] [G loss: 0.787372]
[Epoch 2/200] [Batch 59/91] [D loss: 0.253004] [G loss: 0.970493]
[Epoch 2/200] [Batch 60/91] [D loss: 0.285032] [G loss: 1.176412]
[Epoch 2/200] [Batch 61/91] [D loss: 0.365384] [G loss: 0.659165]
[Epoch 2/200] [Batch 62/91] [D loss: 0.316198] [G loss: 0.760944]
[Epoch 2/200] [Batch 63/91] [D loss: 0.222240] [G loss: 1.142664]
[Epoch 2/200] [Batch 64/91] [D loss: 0.259385] [G loss: 1.235880]
[Epoch 2/200] [Batch 65/91] [D loss: 0.374695] [G loss: 0.642730]
[Epoch 2/200] [Batch 66/91] [D loss: 0.337178] [G loss: 0.718103]
[Epoch 2/200] [Batch 67/91] [D loss: 0.237888] [G loss: 1.118752]
[Epoch 2/200] [Batch 68/91] [D loss: 0.231606] [G loss: 1.037466]
[Epoch 2/200] [Batch 69/91] [D loss: 0.256393] [G loss: 1.126478]
[Epoch 2/200] [Batch 70/91] [D loss: 0.313582] [G loss: 0.780941]
[Epoch 2/200] [Batch 71/91] [D loss: 0.260153] [G loss: 1.012020]
[Epoch 2/200] [Batch 72/91] [D loss: 0.410358] [G loss: 1.161721]
[Epoch 2/200] [Batch 73/91] [D loss: 0.766150] [G loss: 0.272958]
[Epoch 2/200] [Batch 74/91] [D loss: 0.689968] [G loss: 0.339424]
[Epoch 2/200] [Batch 75/91] [D loss: 0.345305] [G loss: 0.749526]
[Epoch 2/200] [Batch 76/91] [D loss: 0.681201] [G loss: 1.231049]
[Epoch 2/200] [Batch 77/91] [D loss: 0.646371] [G loss: 0.380562]
[Epoch 2/200] [Batch 78/91] [D loss: 0.611917] [G loss: 0.417141]
[Epoch 2/200] [Batch 79/91] [D loss: 0.376198] [G loss: 0.713447]
[Epoch 2/200] [Batch 80/91] [D loss: 0.389057] [G loss: 1.246050]
[Epoch 2/200] [Batch 81/91] [D loss: 0.302509] [G loss: 0.889065]
[Epoch 2/200] [Batch 82/91] [D loss: 0.306919] [G loss: 0.858848]
[Epoch 2/200] [Batch 83/91] [D loss: 0.348033] [G loss: 1.059753]
[Epoch 2/200] [Batch 84/91] [D loss: 0.346355] [G loss: 0.865174]
[Epoch 2/200] [Batch 85/91] [D loss: 0.314015] [G loss: 1.095004]
[Epoch 2/200] [Batch 86/91] [D loss: 0.397583] [G loss: 0.771581]
[Epoch 2/200] [Batch 87/91] [D loss: 0.463420] [G loss: 1.252522]
[Epoch 2/200] [Batch 88/91] [D loss: 1.109769] [G loss: 0.437549]
[Epoch 2/200] [Batch 89/91] [D loss: 0.370808] [G loss: 0.798429]
[Epoch 2/200] [Batch 90/91] [D loss: 0.463805] [G loss: 1.784733]
[Epoch 3/200] [Batch 0/91] [D loss: 0.351913] [G loss: 1.189917]
[Epoch 3/200] [Batch 1/91] [D loss: 0.390415] [G loss: 0.774748]
[Epoch 3/200] [Batch 2/91] [D loss: 0.403734] [G loss: 0.883159]
[Epoch 3/200] [Batch 3/91] [D loss: 0.336035] [G loss: 1.158411]
[Epoch 3/200] [Batch 4/91] [D loss: 0.400013] [G loss: 0.932641]
[Epoch 3/200] [Batch 5/91] [D loss: 0.369548] [G loss: 0.964771]
[Epoch 3/200] [Batch 6/91] [D loss: 0.338052] [G loss: 0.885232]
[Epoch 3/200] [Batch 7/91] [D loss: 0.430794] [G loss: 0.932692]
[Epoch 3/200] [Batch 8/91] [D loss: 0.434553] [G loss: 0.758462]
[Epoch 3/200] [Batch 9/91] [D loss: 0.451688] [G loss: 1.063323]
[Epoch 3/200] [Batch 10/91] [D loss: 0.792942] [G loss: 0.306345]
[Epoch 3/200] [Batch 11/91] [D loss: 0.319195] [G loss: 1.547018]
[Epoch 3/200] [Batch 12/91] [D loss: 0.518502] [G loss: 0.548107]
[Epoch 3/200] [Batch 13/91] [D loss: 0.565599] [G loss: 1.613237]
[Epoch 3/200] [Batch 14/91] [D loss: 1.447183] [G loss: 0.088593]
[Epoch 3/200] [Batch 15/91] [D loss: 1.267660] [G loss: 0.143455]
[Epoch 3/200] [Batch 16/91] [D loss: 0.553245] [G loss: 0.729263]
[Epoch 3/200] [Batch 17/91] [D loss: 0.700300] [G loss: 1.517120]
[Epoch 3/200] [Batch 18/91] [D loss: 0.498958] [G loss: 0.617487]
[Epoch 3/200] [Batch 19/91] [D loss: 0.612997] [G loss: 0.421313]
[Epoch 3/200] [Batch 20/91] [D loss: 0.488695] [G loss: 0.613445]
[Epoch 3/200] [Batch 21/91] [D loss: 0.471309] [G loss: 0.938448]
[Epoch 3/200] [Batch 22/91] [D loss: 0.507466] [G loss: 0.547303]
[Epoch 3/200] [Batch 23/91] [D loss: 0.458804] [G loss: 0.718233]
[Epoch 3/200] [Batch 24/91] [D loss: 0.382346] [G loss: 1.148291]
[Epoch 3/200] [Batch 25/91] [D loss: 0.396724] [G loss: 0.770383]
[Epoch 3/200] [Batch 26/91] [D loss: 0.310530] [G loss: 0.936220]
[Epoch 3/200] [Batch 27/91] [D loss: 0.292197] [G loss: 1.392413]
[Epoch 3/200] [Batch 28/91] [D loss: 0.329889] [G loss: 0.913502]
[Epoch 3/200] [Batch 29/91] [D loss: 0.247398] [G loss: 1.288946]
[Epoch 3/200] [Batch 30/91] [D loss: 0.365535] [G loss: 1.725805]
[Epoch 3/200] [Batch 31/91] [D loss: 0.362017] [G loss: 0.849252]
[Epoch 3/200] [Batch 32/91] [D loss: 0.295085] [G loss: 1.622857]
[Epoch 3/200] [Batch 33/91] [D loss: 0.359696] [G loss: 1.042690]
[Epoch 3/200] [Batch 34/91] [D loss: 0.320854] [G loss: 1.579547]
[Epoch 3/200] [Batch 35/91] [D loss: 1.262174] [G loss: 1.113244]
[Epoch 3/200] [Batch 36/91] [D loss: 0.823189] [G loss: 1.484379]
[Epoch 3/200] [Batch 37/91] [D loss: 0.835701] [G loss: 0.381433]
[Epoch 3/200] [Batch 38/91] [D loss: 0.346859] [G loss: 1.141813]
[Epoch 3/200] [Batch 39/91] [D loss: 0.438416] [G loss: 1.536263]
[Epoch 3/200] [Batch 40/91] [D loss: 0.553012] [G loss: 0.733482]
[Epoch 3/200] [Batch 41/91] [D loss: 0.556230] [G loss: 1.228436]
[Epoch 3/200] [Batch 42/91] [D loss: 0.566574] [G loss: 0.613996]
[Epoch 3/200] [Batch 43/91] [D loss: 0.441796] [G loss: 0.985816]
[Epoch 3/200] [Batch 44/91] [D loss: 0.465997] [G loss: 0.693519]
